episode_num,layer_num,quant_state,acc_state,reward,l1-bits,l2-bits,l3-bits,l4-bits,l5-bits,prob_2bits,prob_3bits,prob_4bits,prob_5bits,prob_8bits
30,1,0.925,0.0,0,5,8,8,8,8,0.1846892,0.15940712,0.1888065,0.27375284,0.19334432
30,2,0.85,0.0,0,5,8,5,8,8,0.15512335,0.16987008,0.2328051,0.25375348,0.188448
30,3,0.85,0.0,0,5,8,5,8,8,0.16385265,0.16344136,0.21203552,0.26459363,0.19607686
30,4,0.725,0.9496,0.40243347555213194,5,8,5,8,3,0.17185758,0.15081878,0.19935809,0.2761089,0.20185666
31,0,0.875,0.0,0,3,8,8,8,8,0.1848866,0.16024305,0.18608925,0.27316713,0.19561398
31,1,0.775,0.0,0,3,4,8,8,8,0.18376221,0.15956499,0.18902688,0.27400887,0.19363707
31,2,0.65,0.0,0,3,4,3,8,8,0.15549786,0.17143871,0.23075421,0.25383824,0.18847102
31,3,0.575,0.0,0,3,4,3,5,8,0.164834,0.16331106,0.21073622,0.26260054,0.19851828
31,4,0.475,0.7159999999999999,0.27405008211775367,3,4,3,5,4,0.17533584,0.1525651,0.19989306,0.26544407,0.20676197
32,0,0.925,0.0,0,5,8,8,8,8,0.18349141,0.16033702,0.18583593,0.27381784,0.19651784
32,1,0.8,0.0,0,5,3,8,8,8,0.1819025,0.15943205,0.18821649,0.27514538,0.19530356
32,2,0.7,0.0,0,5,3,4,8,8,0.1536335,0.1714749,0.23054846,0.2549313,0.18941186
32,3,0.55,0.0,0,5,3,4,2,8,0.16238599,0.16356827,0.2109326,0.26437452,0.19873863
32,4,0.4,0.2826666666666666,0.00010233863900855863,5,3,4,2,2,0.17468241,0.15257561,0.20016222,0.26512262,0.20745708
33,0,1.0,0.0,0,8,8,8,8,8,0.18221812,0.1602232,0.18571219,0.27426794,0.19757856
33,1,0.9,0.0,0,8,4,8,8,8,0.18025704,0.15877376,0.18735024,0.2759359,0.19768305
33,2,0.8,0.0,0,8,4,4,8,8,0.15075254,0.1707388,0.23092306,0.2567001,0.19088547
33,3,0.65,0.0,0,8,4,4,2,8,0.16034402,0.16362259,0.21108939,0.26657012,0.19837385
33,4,0.5,0.2866666666666666,0.0001097524058755341,8,4,4,2,2,0.17192245,0.15249345,0.19880892,0.26968047,0.2070947
34,0,0.9,0.0,0,4,8,8,8,8,0.18101957,0.16030332,0.1852453,0.27512008,0.19831172
34,1,0.825,0.0,0,4,5,8,8,8,0.17960359,0.15932499,0.18788263,0.27652928,0.19665949
34,2,0.7,0.0,0,4,5,3,8,8,0.150242,0.1719753,0.22896881,0.2576045,0.19120933
34,3,0.625,0.0,0,4,5,3,5,8,0.15976767,0.16371825,0.2103731,0.2663417,0.19979931
34,4,0.525,0.7831999999999999,0.3450384013732166,4,5,3,5,4,0.1706946,0.15291432,0.19897425,0.26953605,0.20788081
35,0,0.85,0.0,0,2,8,8,8,8,0.17981103,0.16035497,0.18505542,0.276042,0.19873647
35,1,0.725,0.0,0,2,3,8,8,8,0.17902465,0.15970588,0.18867281,0.27620032,0.19639629
35,2,0.625,0.0,0,2,3,4,8,8,0.1503565,0.17298147,0.22782825,0.25855142,0.19028234
35,3,0.625,0.0,0,2,3,4,8,8,0.16064611,0.16332875,0.20983918,0.2659585,0.20022748
35,4,0.475,0.6346666666666666,0.16629180729685344,2,3,4,8,2,0.16914967,0.15309738,0.19906613,0.2705402,0.20814657
36,0,0.9,0.0,0,4,8,8,8,8,0.1786567,0.16035876,0.18490618,0.2769054,0.19917299
36,1,0.825,0.0,0,4,5,8,8,8,0.17720929,0.15931721,0.1874809,0.27837968,0.19761296
36,2,0.75,0.0,0,4,5,5,8,8,0.14739206,0.17314045,0.22717302,0.26033726,0.19195718
36,3,0.65,0.0,0,4,5,5,4,8,0.15642488,0.1643006,0.20971355,0.2696636,0.1998974
36,4,0.525,0.9082666666666668,0.5210302478065862,4,5,5,4,3,0.16744694,0.1529911,0.19877462,0.27260974,0.20817764
37,0,0.85,0.0,0,2,8,8,8,8,0.17731124,0.16043963,0.18521178,0.27791667,0.1991207
37,1,0.75,0.0,0,2,4,8,8,8,0.1765044,0.15969996,0.18867406,0.27820385,0.19691768
37,2,0.625,0.0,0,2,4,3,8,8,0.14701614,0.17395917,0.22661239,0.26158088,0.19083144
37,3,0.525,0.0,0,2,4,3,4,8,0.158021,0.1637191,0.2098732,0.26823208,0.2001546
37,4,0.425,0.6253333333333333,0.16754431011957685,2,4,3,4,4,0.16851358,0.15352483,0.20118129,0.26814154,0.20863876
38,0,0.85,0.0,0,2,8,8,8,8,0.17601459,0.16053565,0.18547663,0.27887186,0.1991013
38,1,0.85,0.0,0,2,8,8,8,8,0.17524967,0.15971944,0.18884061,0.27924594,0.19694433
38,2,0.75,0.0,0,2,8,4,8,8,0.14397867,0.17416632,0.22650641,0.26348615,0.19186243
38,3,0.6,0.0,0,2,8,4,2,8,0.15361246,0.16490074,0.210043,0.27192688,0.19951694
38,4,0.525,0.5109333333333334,0.04648324554669459,2,8,4,2,5,0.16535962,0.15416718,0.20025185,0.27210093,0.20812044
