l1,l2,l3,l4,l5,l6,l7,acc
8,3,6,8,3,4,4,10.319999999999997
4,3,5,4,4,5,8,9.940000000000005
5,5,6,6,6,6,8,88.53999999999999
3,5,5,6,8,3,6,10.160000000000002
6,3,6,3,6,4,8,9.719999999999995
6,3,3,5,4,3,8,9.840000000000003
5,3,3,5,6,5,6,9.319999999999995
5,3,5,3,3,4,5,10.219999999999995
3,3,6,5,8,6,3,10.299999999999997
8,3,8,8,5,8,3,10.340000000000005
3,8,3,4,4,8,8,9.28
3,4,8,4,3,8,6,9.699999999999998
8,3,4,3,4,4,8,9.640000000000004
8,6,6,4,4,3,5,10.340000000000005
8,6,8,3,6,3,8,10.119999999999996
6,3,4,3,8,4,8,9.940000000000005
3,5,3,4,6,5,3,10.199999999999998
4,8,3,6,6,8,3,10.340000000000005
5,8,6,5,3,4,6,9.760000000000002
6,3,3,5,6,6,4,10.08
6,5,8,4,6,5,4,23.599999999999998
3,6,3,8,4,5,5,9.319999999999995
8,8,5,8,4,5,8,68.28
3,5,4,4,8,6,8,27.959999999999997
6,3,6,6,4,5,4,9.219999999999995
6,4,6,4,4,3,6,10.160000000000002
5,8,3,6,6,3,3,9.799999999999997
8,8,6,5,5,8,5,81.52000000000001
5,6,8,8,6,3,4,10.160000000000002
3,6,8,5,5,4,6,32.599999999999994
6,3,8,5,6,5,6,39.62
6,8,3,3,8,3,6,9.999999999999998
6,5,4,3,5,5,8,9.140000000000004
8,3,3,4,8,4,4,10.440000000000005
6,3,8,4,4,5,6,10.199999999999998
6,3,5,4,3,5,3,9.960000000000003
3,5,6,3,8,8,4,10.319999999999997
4,6,8,5,8,4,4,13.600000000000001
8,6,4,8,6,8,3,9.48
8,8,5,4,3,6,3,10.419999999999996
5,3,3,5,3,8,5,9.740000000000004
6,3,4,8,3,8,8,10.219999999999995
5,6,4,8,8,4,6,56.38000000000001
5,4,3,3,8,5,5,10.760000000000003
3,3,4,5,3,6,4,10.640000000000004
8,4,6,3,6,3,5,9.540000000000004
5,4,6,6,6,8,6,82.16
3,6,6,8,6,3,3,9.760000000000002
6,6,6,8,8,3,4,9.719999999999995
8,4,8,3,4,4,8,10.280000000000001
5,4,5,4,8,3,4,9.999999999999998
3,8,6,6,3,8,4,10.119999999999996
3,8,6,6,5,6,6,62.64000000000001
8,4,5,5,6,8,3,9.879999999999999
8,3,6,6,4,3,8,9.699999999999998
3,6,5,5,6,5,6,60.78
3,3,6,8,6,5,8,17.659999999999997
5,5,3,3,5,8,4,9.419999999999995
8,8,3,8,5,5,4,10.119999999999996
5,5,8,6,6,4,8,71.88
3,5,8,6,3,4,6,9.28
8,6,3,4,8,5,3,10.319999999999997
3,6,6,5,6,3,5,9.46
5,4,5,3,3,8,8,9.960000000000003
3,8,3,8,3,5,5,10.040000000000004
3,5,4,8,6,4,3,10.140000000000004
8,3,8,3,8,4,5,10.760000000000003
3,6,3,8,5,8,8,9.640000000000004
8,4,8,6,8,8,4,59.46
5,6,8,8,5,4,5,67.56
6,4,3,8,5,3,3,9.98
6,3,4,3,4,3,6,9.540000000000004
3,6,6,5,3,3,4,10.419999999999996
4,5,5,5,3,5,4,9.68
3,4,4,5,6,3,3,10.060000000000002
4,5,5,5,5,8,6,77.58
8,8,6,8,5,3,6,9.799999999999997
4,3,8,6,6,6,6,43.56
6,3,5,3,4,3,8,9.619999999999996
8,5,5,6,8,4,4,40.02
4,5,6,3,6,5,4,10.219999999999995
5,4,4,6,6,4,4,10.440000000000005
3,8,8,5,4,6,4,9.919999999999995
5,6,3,5,4,5,5,9.660000000000002
6,5,6,4,4,8,3,10.840000000000005
8,6,6,3,4,3,3,9.760000000000002
8,3,6,6,4,6,5,9.640000000000004
4,8,4,6,6,4,3,9.919999999999995
4,5,8,3,8,5,3,10.019999999999996
4,5,5,6,8,6,4,69.67999999999999
8,5,4,5,3,4,6,9.960000000000003
5,4,5,4,6,6,3,10.240000000000006
5,8,4,3,5,3,4,9.799999999999997
8,6,8,6,8,5,8,91.16
4,6,5,6,3,4,4,9.98
5,6,4,8,6,8,3,10.299999999999997
4,6,8,6,5,8,8,85.02000000000001
6,5,8,5,4,3,4,9.699999999999998
5,3,5,6,6,6,6,47.260000000000005
8,3,5,4,4,4,4,9.48
4,3,6,6,3,4,4,10.399999999999999
5,8,6,4,8,6,4,26.400000000000002
6,8,5,3,5,6,3,10.340000000000005
6,6,3,3,4,4,8,10.560000000000002
8,6,4,8,6,4,6,56.46
5,6,6,4,8,5,4,14.52
8,3,4,8,3,5,4,10.740000000000006
